hdi,gnp_per_capita,rank
116,20,1
143,15,2
150,13,3
150,27,4
157,4,5
162,31,6
200,23,7
208,40,8
212,17,9
212,28,10
235,18,11
236,3,12
239,10,13
250,7,14
255,32,15
258,29,16
273,8,17
274,43,18
282,1,19
294,5,20
304,26,21
304,58,22
318,6,23
322,36,24
328,47,25
333,42,26
337,24,27
354,21,28
356,34,29
360,37,30
369,39,31
393,52,32
395,59,33
404,60,34
413,12,35
423,33,36
439,25,37
440,14,38
471,50,39
471,2,40
474,64,41
481,30,42
481,19,43
489,48,44
501,49,45
506,9,46
525,93,47
535,104,48
548,44,49
561,11,50
563,53,51
576,45,52
580,35,53
591,41,54
592,63,55
608,16,56
609,91,57
646,69,58
651,56,59
657,70,60
660,97,61
691,79,62
699,51,63
702,107,64
714,46,65
716,22,66
719,103,67
731,82,68
735,78,69
737,57,70
743,54,71
751,71,72
752,76,73
753,74,74
758,68,75
759,96,76
782,127,77
783,55,78
784,65,79
784,85,80
788,75,81
789,67,82
789,38,83
790,61,84
800,80,85
801,72,86
824,62,87
824,122,88
861,95,89
863,84,90
876,81,91
877,66,92
883,88,93
885,100,94
899,94,95
899,110,96
903,92,97
910,83,98
910,89,99
913,90,100
915,87,101
916,86,102
916,77,103
918,99,104
920,101,105
931,102,106
931,73,107
936,111,108
946,98,109
953,115,110
957,108,111
961,129,112
961,118,113
961,106,114
965,105,115
966,116,116
966,112,117
966,109,118
967,120,119
967,121,120
970,113,121
971,123,122
974,119,123
978,114,124
983,128,125
983,124,126
984,117,127
986,130,128
987,125,129
996,126,130
